Item Name,Price,Seller,League,Corrupted,Item Level,Explicit Mods,Enchant Mods,Whisper Message
Against the Darkness Time-Lost Diamond,1 divine,17606151995#7613,Standard,True,82,[SmallPassive|Small Passive] Skills in Radius also grant 4% reduced [Freeze|Freeze] Duration on you; Notable Passive Skills in Radius also grant +1% to [MaximumResistances|Maximum Chaos Resistance],,"@yaoyaojiu Hi, I would like to buy your Against the Darkness Time-Lost Diamond listed for 1 divine in Standard (stash tab ""~b/o 1 divine""; position: left 2, top 1)"
Against the Darkness Time-Lost Diamond,1 divine,kaisengg#5604,Standard,True,82,[SmallPassive|Small Passive] Skills in Radius also grant 6% reduced [Ignite|Ignite] Duration on you; Notable Passive Skills in Radius also grant +1% to [MaximumResistances|Maximum Cold Resistance],,"@KAISENGGG 你好，我想購買 力抗黑暗 時迭鑽石 標價 1 divine 在 Standard (倉庫頁 ""拍卖大仓""; 位置: 左 22, 上 13)"
Against the Darkness Time-Lost Diamond,1 divine,Reshigen#7735,Standard,True,81,[SmallPassive|Small Passive] Skills in Radius also grant +2% to [Resistances|Lightning Resistance]; [SmallPassive|Small Passive] Skills in Radius also grant 6% reduced [Freeze|Freeze] Duration on you,+6% to [Resistances|Fire Resistance],"@ProtoReshi Hi, I would like to buy your Against the Darkness Time-Lost Diamond listed for 1 divine in Standard (stash tab ""Sales""; position: left 1, top 5)"
Against the Darkness Time-Lost Diamond,1 divine,หวัง4ฟรี#7897,Standard,True,82,Notable Passive Skills in Radius also grant +1% to [MaximumResistances|Maximum Cold Resistance]; Notable Passive Skills in Radius also grant +1% to [MaximumResistances|Maximum Chaos Resistance],,"@ลักปี้ สวัสดี เราต้องการซื้อ Against the Darkness Time-Lost Diamond ที่คุณตั้งขายไว้ในราคา 1 divine ในลีก Standard (แท็บ ""รวย2"" ตำแหน่ง: ซ้าย 2, บน 1)"
Against the Darkness Time-Lost Diamond,1 divine,youxihei#6627,Standard,True,82,[SmallPassive|Small Passive] Skills in Radius also grant +4% to [Resistances|Cold Resistance]; [SmallPassive|Small Passive] Skills in Radius also grant 6% reduced [Ignite|Ignite] Duration on you,,"@血祭学神颅献儒座 你好，我想購買 力抗黑暗 時迭鑽石 標價 1 divine 在 Standard (倉庫頁 ""5""; 位置: 左 24, 上 24)"
Against the Darkness Time-Lost Diamond,1 divine,Patelniak#4018,Standard,True,82,Notable Passive Skills in Radius also grant +1% to [MaximumResistances|Maximum Cold Resistance]; Notable Passive Skills in Radius also grant [Gain] 2% of Damage as Extra [Chaos] Damage,,"@StringFingerer Hi, I would like to buy your Against the Darkness Time-Lost Diamond listed for 1 divine in Standard (stash tab ""~price 1 divine""; position: left 12, top 2)"
Against the Darkness Time-Lost Diamond,1 divine,NSWE#1825,Standard,True,82,[SmallPassive|Small Passive] Skills in Radius also grant 5% reduced [Shock|Shock] duration on you; Notable Passive Skills in Radius also grant +1% to [MaximumResistances|Maximum Cold Resistance],+8% to [Resistances|Fire Resistance],"@쏠수있어 안녕하세요, 1 divine(으)로 올려놓은 Standard 리그의 어둠에의 저항 오래된 다이아몬드(을)를 구매하고 싶습니다 (보관함 탭 ""~price 1 divine"", 위치: 왼쪽 12, 상단 1)"
Against the Darkness Time-Lost Diamond,1 divine,PapagiJ#4075,Standard,False,82,[SmallPassive|Small Passive] Skills in Radius also grant +3% to [Resistances|Lightning Resistance]; Notable Passive Skills in Radius also grant +1% to [MaximumResistances|Maximum Cold Resistance],,"@Icyke Hi, I would like to buy your Against the Darkness Time-Lost Diamond listed for 1 divine in Standard (stash tab ""S""; position: left 15, top 16)"
Against the Darkness Time-Lost Diamond,1 divine,igunasubi#2343,Standard,True,82,[SmallPassive|Small Passive] Skills in Radius also grant +2% to [Resistances|Lightning Resistance]; Notable Passive Skills in Radius also grant +1% to [MaximumResistances|Maximum Lightning Resistance],+6 to [Intelligence|Intelligence],"@CantplayTRUEmelee Hi, I would like to buy your Against the Darkness Time-Lost Diamond listed for 1 divine in Standard (stash tab ""sell""; position: left 12, top 12)"
Against the Darkness Time-Lost Diamond,1 divine,PapagiJ#4075,Standard,False,82,[SmallPassive|Small Passive] Skills in Radius also grant +3% to [Resistances|Cold Resistance]; [SmallPassive|Small Passive] Skills in Radius also grant 6% reduced [Ignite|Ignite] Duration on you,,"@Icyke Hi, I would like to buy your Against the Darkness Time-Lost Diamond listed for 1 divine in Standard (stash tab ""S""; position: left 16, top 16)"
