Item Name,Price,Seller,League,Corrupted,Item Level,Explicit Mods,Enchant Mods,Whisper Message
Megalomaniac Diamond,1 divine,1999y#1358,Standard,True,82,,Allocates [cold_penetration26|Glaciation]; Allocates [getting_hit14|Thornhide],"@iPoneKing 你好，我想購買 妄想症 鑽石 標價 1 divine 在 Standard (倉庫頁 ""平分""; 位置: 左 11, 上 10)"
Megalomaniac Diamond,1 divine,494891068#3479,Standard,True,82,,Allocates [stun_threshold_if_no_recent_stun9|Briny Carapace]; Allocates [duration_spells4|Unimpeded],"@阿政啊 你好，我想購買 妄想症 鑽石 標價 1 divine 在 Standard (倉庫頁 ""商店3""; 位置: 左 12, 上 9)"
Megalomaniac Diamond,1 divine,aqzxbbs#7991,Standard,True,82,,Allocates [flail5|Ball and Chain]; Allocates [stun_threshold12|Unbreaking],"@ykdl 你好，我想購買 妄想症 鑽石 標價 1 divine 在 Standard (倉庫頁 ""交易""; 位置: 左 6, 上 10)"
Megalomaniac Diamond,1 divine,hwf#5289,Standard,True,82,,Allocates [mana_flasks13|Warding Potions]; Allocates [pin8|Pinned Down],"@hwf 你好，我想購買 妄想症 鑽石 標價 1 divine 在 Standard (倉庫頁 ""~price 1 divine""; 位置: 左 3, 上 3)"
Megalomaniac Diamond,1 divine,306662695#4819,Standard,True,82,,Allocates [corpses17|Lust for Sacrifice]; Allocates [duelist_mercenary_notable2|Remorseless],"@就这样刷第二世 你好，我想購買 妄想症 鑽石 標價 1 divine 在 Standard (倉庫頁 ""~b/o 1 divine""; 位置: 左 6, 上 10)"
Megalomaniac Diamond,1 divine,1259209819#3728,Standard,True,82,,Allocates [fire_penetration23_|Breath of Fire]; Allocates [cooldowns13|Distracting Presence],"@iuuuuuuuuuuuuu 你好，我想購買 妄想症 鑽石 標價 1 divine 在 Standard (倉庫頁 ""~b/o 1 divine""; 位置: 左 18, 上 24)"
Megalomaniac Diamond,1 divine,이준섭#4108,Standard,True,82,,Allocates [charms7|Woodland Aspect]; Allocates [cold_penetration14|Shattered Crystal],"@무관견젠첩들때려잡는준섭장군님만세 안녕하세요, 1 divine(으)로 올려놓은 Standard 리그의 과대망상 다이아몬드(을)를 구매하고 싶습니다 (보관함 탭 ""6"", 위치: 왼쪽 12, 상단 12)"
Megalomaniac Diamond,1 divine,MeoBeo2#4327,Standard,True,82,,Allocates [minion_offence40|Growing Swarm]; Allocates [armour_break35|Pile On],"@ChuBoMaThuat Hi, I would like to buy your Megalomaniac Diamond listed for 1 divine in Standard (stash tab ""~price 1 divine""; position: left 9, top 12)"
Megalomaniac Diamond,1 divine,翃异#5171,Standard,True,82,,Allocates [bleed6|Bloodletting]; Allocates [minion_defence36_|Regenerative Flesh],"@GeistX 你好，我想購買 妄想症 鑽石 標價 1 divine 在 Standard (倉庫頁 ""sale1""; 位置: 左 10, 上 8)"
Megalomaniac Diamond,1 divine,Hulma_1#8216,Standard,True,82,,Allocates [warcries11|Cacophony]; Allocates [marks11|Break Focus],"@黑粉蕾丶 你好，我想購買 妄想症 鑽石 標價 1 divine 在 Standard (倉庫頁 ""珠宝""; 位置: 左 12, 上 11)"
Megalomaniac Diamond,1 divine,YANGMAL#0420,Standard,True,82,,Allocates [energy_shield_recovery17|Refocus]; Allocates [buckler12|Reprisal],"@yotsubaenjoyer Hi, I would like to buy your Megalomaniac Diamond listed for 1 divine in Standard (stash tab ""~price 1 divine""; position: left 1, top 1)"
Megalomaniac Diamond,1 divine,a383299423#7770,Standard,True,82,,Allocates [cast_speed34|Spiral into Mania]; Allocates [evasion_and_energy_shield13|Shadow Dancing],"@轩轩轩 你好，我想購買 妄想症 鑽石 標價 1 divine 在 Standard (倉庫頁 ""宝贝首饰""; 位置: 左 9, 上 6)"
Megalomaniac Diamond,1 divine,381570588#5707,Standard,True,82,,Allocates [accuracy29|Far Sighted]; Allocates [attack_speed32_|Reaving],"@超拽菠萝鱼 你好，我想購買 妄想症 鑽石 標價 1 divine 在 Standard (倉庫頁 ""7""; 位置: 左 11, 上 12)"
Megalomaniac Diamond,1 divine,abcd12345600ww#5177,Standard,True,82,,Allocates [melee38|Reaching Strike]; Allocates [energy_shield_recovery25_|Arcane Mixtures],"@yamaidie 你好，我想購買 妄想症 鑽石 標價 1 divine 在 Standard (倉庫頁 ""？""; 位置: 左 12, 上 12)"
Megalomaniac Diamond,1 divine,zx5351531#7419,Standard,True,82,,Allocates [flail18|Spiked Whip]; Allocates [criticals90|Throatseeker],"@你行不行啊 你好，我想購買 妄想症 鑽石 標價 1 divine 在 Standard (倉庫頁 ""大仓""; 位置: 左 20, 上 24)"
Megalomaniac Diamond,1 divine,juzi#3931,Standard,True,82,,Allocates [marks10|No Escape]; Allocates [ranged31|Careful Aim],"@我真帅啊 你好，我想購買 妄想症 鑽石 標價 1 divine 在 Standard (倉庫頁 ""~price 1 divine""; 位置: 左 11, 上 2)"
Megalomaniac Diamond,1 divine,Lynlarin#1810,Standard,True,82,,Allocates [charms5|Thicket Warding]; Allocates [frenzy_charges9|Fervour],"@BloodyLynlarin Hi, I would like to buy your Megalomaniac Diamond listed for 1 divine in Standard (stash tab ""~price 1 divine""; position: left 8, top 12)"
Megalomaniac Diamond,1 divine,64277789#0774,Standard,True,82,,Allocates [heralds17|Fate Finding]; Allocates [slowed_enemies15|Hindered Capabilities],"@zhuroujj 你好，我想購買 妄想症 鑽石 標價 1 divine 在 Standard (倉庫頁 ""D""; 位置: 左 20, 上 16)"
Megalomaniac Diamond,1 divine,846005754#4834,Standard,True,82,,Allocates [boss_slaying9_|Cull the Hordes]; Allocates [corpses10|Meat Recycling],"@ThisNull 你好，我想購買 妄想症 鑽石 標價 1 divine 在 Standard (倉庫頁 ""6""; 位置: 左 10, 上 9)"
