Item Name,Price,Seller,League,Corrupted,Item Level,Explicit Mods,Enchant Mods,Whisper Message
Prism of Belief Diamond,1 divine,mccy#8463,Standard,True,84,+3 to Level of all Hand of Chayula Skills,,"@mmmccy 你好，我想購買 信仰棱鏡 鑽石 標價 1 divine 在 Standard (倉庫頁 ""10""; 位置: 左 7, 上 24)"
Prism of Belief Diamond,1 divine,Nickles520#3441,Standard,True,84,+2 to Level of all Spiral Volley Skills,,"@VezNickz 你好，我想購買 信仰棱鏡 鑽石 標價 1 divine 在 Standard (倉庫頁 ""~b/o 1 divine""; 位置: 左 3, 上 1)"
Prism of Belief Diamond,1 divine,a18631626#6475,Standard,True,84,+1 to Level of all Electrocuting Arrow Skills,,"@醉凡尘 Hi, I would like to buy your Prism of Belief Diamond listed for 1 divine in Standard (stash tab ""仓库""; position: left 10, top 23)"
Prism of Belief Diamond,1 divine,龙爱华#4945,Standard,True,84,+1 to Level of all Incinerate Skills,,"@绯红老妖 你好，我想購買 信仰棱鏡 鑽石 標價 1 divine 在 Standard (倉庫頁 ""~price 1 divine 珠宝""; 位置: 左 10, 上 6)"
Prism of Belief Diamond,1 divine,BragJungle5842#8659,Standard,True,84,+3 to Level of all Soul Offering Skills,,"@dashuaibib 你好，我想購買 信仰棱鏡 鑽石 標價 1 divine 在 Standard (倉庫頁 ""~b/o 1 divine""; 位置: 左 24, 上 11)"
Prism of Belief Diamond,1 divine,dirtyjack3#5676,Standard,True,84,+2 to Level of all Freezing Mark Skills,,"@Foknorris Hi, I would like to buy your Prism of Belief Diamond listed for 1 divine in Standard (stash tab ""SELL""; position: left 1, top 5)"
Prism of Belief Diamond,1 divine,Unidentifiedplayer#4699,Standard,True,84,+1 to Level of all Shard Scavenger Skills,,"@poebloiddva Hi, I would like to buy your Prism of Belief Diamond listed for 1 divine in Standard (stash tab ""~b/o 1 divine""; position: left 9, top 12)"
Prism of Belief Diamond,1 divine,poxx1126#3048,Standard,True,84,+2 to Level of all Oil Grenade Skills,,"@jakak 你好，我想購買 信仰棱鏡 鑽石 標價 1 divine 在 Standard (倉庫頁 ""~price 1 divine""; 位置: 左 5, 上 3)"
Prism of Belief Diamond,1 divine,Reaperis#3798,Standard,True,84,+2 to Level of all Resonating Shield Skills,,"@Reaperis Hi, I would like to buy your Prism of Belief Diamond listed for 1 divine in Standard (stash tab ""Sales3""; position: left 10, top 11)"
Prism of Belief Diamond,1 divine,dsp1023313#5213,Standard,True,84,+2 to Level of all Withering Presence Skills,,"@nimami 你好，我想購買 信仰棱鏡 鑽石 標價 1 divine 在 Standard (倉庫頁 ""商品""; 位置: 左 7, 上 12)"
Prism of Belief Diamond,1 divine,OrukaZz#9767,Standard,True,84,+2 to Level of all Ball Lightning Skills,,"@佣兵重生之法爷电穿异界 你好，我想購買 信仰棱鏡 鑽石 標價 1 divine 在 Standard (倉庫頁 ""~price 1 divine""; 位置: 左 21, 上 23)"
Prism of Belief Diamond,1 divine,AAA996#7240,Standard,True,84,+2 to Level of all Pain Offering Skills,,"@Realcers 你好，我想購買 信仰棱鏡 鑽石 標價 1 divine 在 Standard (倉庫頁 ""~price 1 divine 珠宝""; 位置: 左 3, 上 1)"
Prism of Belief Diamond,1 divine,ForEver#2422,Standard,True,84,+2 to Level of all Gathering Storm Skills,,"@ForEverRakk Hi, I would like to buy your Prism of Belief Diamond listed for 1 divine in Standard (stash tab ""Trade""; position: left 1, top 6)"
Prism of Belief Diamond,1 divine,Henry_1983#5032,Standard,True,84,+2 to Level of all Attrition Skills,,"@Lvfeng 你好，我想購買 信仰棱鏡 鑽石 標價 1 divine 在 Standard (倉庫頁 ""sell 2""; 位置: 左 15, 上 4)"
Prism of Belief Diamond,1 divine,19816482718#1448,Standard,True,84,+3 to Level of all Unearth Skills,,"@LCCG 你好，我想購買 信仰棱鏡 鑽石 標價 1 divine 在 Standard (倉庫頁 ""~price 1 divine""; 位置: 左 12, 上 7)"
